District,State,Zone,
Anantapur,Andhra Pradesh,Orange,
Chittoor,Andhra Pradesh,Red,
East Godavari,Andhra Pradesh,Orange,
West Godavari,Andhra Pradesh,Orange,
Vizianagaram,Andhra Pradesh,Green,
Visakhapatnam,Andhra Pradesh,Orange,
Srikakulam,Andhra Pradesh,Orange,
Prakasam,Andhra Pradesh,Orange,
Sri Potti Sriramulu Nellore,Andhra Pradesh,Red,
Kurnool,Andhra Pradesh,Red,
Krishna,Andhra Pradesh,Red,
Y.S.R.,Andhra Pradesh,Orange,
Guntur,Andhra Pradesh,Red,
Tawang,Arunachal Pradesh,Green,
West Kameng,Arunachal Pradesh,Green,
East Kameng,Arunachal Pradesh,Green,
Pakke Kessang,Arunachal Pradesh,Green,
Papum Pare,Arunachal Pradesh,Green,
Kurung Kumey,Arunachal Pradesh,Green,
Kra Daadi,Arunachal Pradesh,Green,
Lower Subansiri,Arunachal Pradesh,Green,
Upper Subansiri,Arunachal Pradesh,Green,
West Siang,Arunachal Pradesh,Green,
shi yomi,Arunachal Pradesh,Green,
East Siang,Arunachal Pradesh,Green,
Siang,Arunachal Pradesh,Green,
Upper Siang,Arunachal Pradesh,Green,
Lower Siang,Arunachal Pradesh,Green,
Lepa Rada,Arunachal Pradesh,Green,
 Lower Dibang Valley,Arunachal Pradesh,Green,
Upper Dibang Valley,Arunachal Pradesh,Green,
Anjaw,Arunachal Pradesh,Green,
Lohit,Arunachal Pradesh,Green,
Namsai,Arunachal Pradesh,Green,
Changlang,Arunachal Pradesh,Green,
Tirap,Arunachal Pradesh,Green,
Longding,Arunachal Pradesh,Green,
Kamle,Arunachal Pradesh,Green,
Baksa,Assam,Green,
Barpeta,Assam,Green,
Biswanath,Assam,Green,
Bongaigaon,Assam,Green,
Cachar,Assam,Green,
Charaideo,Assam,Green,
Chirang,Assam,Green,
Darrang,Assam,Green,
Dhemaji,Assam,Green,
Dhubri,Assam,Orange,
Dibrugarh,Assam,Green,
Dima Hasao,Assam,Green,
Goalpara,Assam,Orange,
Golaghat,Assam,Green,
Hailakandi,Assam,Green,
Hojai,Assam,Green,
jorhat,Assam,Green,
Kamrup Metropolitan,Assam,Green,
Kamrup,Assam,Green,
Karbi Anglong,Assam,Green,
Karimganj,Assam,Green,
Kokrajhar,Assam,Green,
Lakhimpur,Assam,Green,
Majuli,Assam,Green,
Morigaon,Assam,Orange,
Nagaon,Assam,Green,
Nalbari,Assam,Green,
Sivasagar,Assam,Green,
Sonitpur,Assam,Green,
South Salmara Mancachar,Assam,Green,
Tinsukia,Assam,Green ,
Udalguri,Assam,Green,
West Karbi Anglong,Assam,Green,
Araria,Bihar,Green,
Arwal,Bihar,Orange,
Aurangabad,Bihar,Orange,
Banka,Bihar,Orange,
Begusarai,Bihar,Orange,
Bhagalpur,Bihar,Orange,
Bhojpur,Bihar,Orange,
Buxar,Bihar,Red,
Darbhanga,Bihar,Orange,
Purba Champaran,Bihar,Orange,
Gaya,Bihar,Red,
Gopalganj,Bihar,Orange,
Jamui,Bihar,Green,
